"WR 50 
CM 12
SPIN 2","Sat May 13 19:56:56 +0000 2023,"
"WR 38
CM 10
SPIN 4","Sat May 13 19:34:13 +0000 2023,"
"WR 35
CM 11
SPIN 1","Sat May 13 19:09:45 +0000 2023,"
"WR 32
CM 7
SPIN 2","Sat May 13 18:31:31 +0000 2023,"
"WR 27
CM 7
SPIN 3","Sat May 13 18:06:55 +0000 2023,"
"WR 25
CM 5
SPIN 1","Sat May 13 17:33:14 +0000 2023,"
"WR: 21
CM: 2
SPIN: 0","Sat May 13 16:27:11 +0000 2023,"
"WR: 26
CM: 6
SPIN: 2","Sat May 13 15:58:53 +0000 2023,"
"WR: 25
CM: 6
SPIN: 7","Sat May 13 15:27:14 +0000 2023,"
"WR: 31
CM: 2
SPIN: 4","Sat May 13 14:57:14 +0000 2023,"
"WR: 27
CM: 5
SPIN: 8","Sat May 13 14:28:08 +0000 2023,"
"WR: 28
CM: 5
SPIN: 10","Sat May 13 13:59:34 +0000 2023,"
"WR: 18
CM: 7
SPIN: 9","Sat May 13 13:29:22 +0000 2023,"
"WR 41
CM 11
SPIN 0","Fri May 12 23:00:16 +0000 2023,"
"WR 48
CM 9
SPIN 7","Fri May 12 22:40:54 +0000 2023,"
"WR 54
CM 17
SPIN 8","Fri May 12 22:03:49 +0000 2023,"
"WR 51 🏋️
CM 9 🏃‍♀️
SPIN 4 🚴‍♂️","Fri May 12 21:30:07 +0000 2023,"
"WR 52
CM 9
SPIN 3","Fri May 12 20:59:19 +0000 2023,"
"WR 54
CM 7
SPIN 4","Fri May 12 20:27:39 +0000 2023,"
"WR 48
CM 17
SPIN 0","Fri May 12 20:04:35 +0000 2023,"
"WR 42
CM 11
SPIN 1","Fri May 12 19:32:30 +0000 2023,"
"WR 38
CM 15
SPIN 1","Fri May 12 19:06:07 +0000 2023,"
"WR 41
CM 10
SPIN 2","Fri May 12 18:35:18 +0000 2023,"
"WR 32
CM 4
SPIN 1","Fri May 12 18:01:56 +0000 2023,"
"WR 39
CM 4
SPIN 0","Fri May 12 17:28:38 +0000 2023,"
"WR 21 
CM 2 
SPIN 2","Fri May 12 17:00:42 +0000 2023,"
"WR 15 
CM 6 
SPIN 5","Fri May 12 16:30:10 +0000 2023,"
"WR 17
CM 4
SPIN 5","Fri May 12 15:56:21 +0000 2023,"
"WR 34 
CM 7 
SPIN 3","Fri May 12 15:30:20 +0000 2023,"
"WR 46
CM 5 
SPIN 1","Fri May 12 15:01:10 +0000 2023,"
"WR 41
CM 7
SPIN 2","Fri May 12 14:30:37 +0000 2023,"
"WR 27
CM 6 
SPIN 2","Fri May 12 14:00:10 +0000 2023,"
"WR 21 
CM 1
SPIN 0","Fri May 12 13:02:27 +0000 2023,"
"WR 24
CM 3
SPIN 0","Fri May 12 12:32:00 +0000 2023,"
"WR 15
CM 4
SPIN 2","Fri May 12 12:02:28 +0000 2023,"
"WR 17
CM 2
SPIN 1","Fri May 12 11:26:04 +0000 2023,"
"WR 51
CM 14
SPIN 4","Thu May 11 22:34:33 +0000 2023,"
"WR 56
CM 14
SPIN 5","Thu May 11 21:59:34 +0000 2023,"
"WR 59
CM 12
SPIN 2","Thu May 11 21:31:45 +0000 2023,"
"WR 60
CM 15
SPIN 6","Thu May 11 21:07:01 +0000 2023,"
"WR 54 
CM 16 
SPIN 4","Thu May 11 20:27:31 +0000 2023,"
"WR 50 
CM 18 
SPIN 2","Thu May 11 19:53:18 +0000 2023,"
"WR 39
CM 12 
SPIN 2","Thu May 11 19:24:52 +0000 2023,"
"WR 33
CM 10 
SPIN 0","Thu May 11 18:53:42 +0000 2023,"
"WR 35 
CM 6 
SPIN 2","Thu May 11 18:29:41 +0000 2023,"
"WR 24 
CM 9
SPIN 2","Thu May 11 18:00:21 +0000 2023,"
"WR 23 
CM 5 
SPIN 6","Thu May 11 17:31:09 +0000 2023,"
"WR 27 
CM 5 
SPIN 1","Thu May 11 17:02:10 +0000 2023,"
"WR 20 
CM 6 
SPIN 1","Thu May 11 16:30:15 +0000 2023,"
"WR 26 
CM 6 
SPIN 4","Thu May 11 16:01:48 +0000 2023,"
"WR 23 
CM 8 
SPIN 2","Thu May 11 15:30:22 +0000 2023,"
"WR 21 
CM 6
SPIN 1","Thu May 11 15:00:16 +0000 2023,"
"WR 15 
CM 8 
SPIN 0","Thu May 11 14:31:11 +0000 2023,"
"WR 11 
CM 2 
SPIN 2","Thu May 11 13:59:18 +0000 2023,"
"WR 15
CM 6
SPIN 3","Thu May 11 13:29:16 +0000 2023,"
"WR 20
CM 2
SPIN 0","Thu May 11 12:56:42 +0000 2023,"
"WR 19 
CM 1
SPIN 4","Thu May 11 12:33:27 +0000 2023,"
"WR 18
CM 7
SPIN 2","Thu May 11 12:06:55 +0000 2023,"
"WR 25 🏋️
CM 6 🚴‍♂️
SPIN 0 🌻","Thu May 11 11:31:41 +0000 2023,"
"WR 56 
CM 13 
SPIN 7","Wed May 10 22:53:05 +0000 2023,"
"WR 74 
CM 23 
SPIN 7","Wed May 10 22:29:46 +0000 2023,"
"WR 68 
CM 10 
SPIN 7","Wed May 10 21:55:08 +0000 2023,"
"WR 54 
CM 12 
SPIN 4","Wed May 10 21:27:37 +0000 2023,"
"WR 53 
CM 14 
SPIN 4","Wed May 10 21:03:18 +0000 2023,"
"WR 46
CM 13
SPIN 3","Wed May 10 20:37:06 +0000 2023,"
"WR 41
CM 8
SPIN 4","Wed May 10 19:58:55 +0000 2023,"
"WR 35
CM 8
SPIN 4","Wed May 10 19:25:19 +0000 2023,"
"WR 32
CM 8
SPIN 3","Wed May 10 18:02:28 +0000 2023,"
"WR 27
CM 5
SPIN 3","Wed May 10 17:29:58 +0000 2023,"
"WR 43 
CM 6 
SPIN 5","Wed May 10 17:01:21 +0000 2023,"
"WR 33 
CM 8 
SPIN 3","Wed May 10 16:32:09 +0000 2023,"
"WR 40 
CM 4 
SPIN 4","Wed May 10 16:01:00 +0000 2023,"
"WR 32 
CM 4 
SPIN 3","Wed May 10 15:31:39 +0000 2023,"
"WR 23 
CM 6 
SPIN 2","Wed May 10 15:00:51 +0000 2023,"
"WR 30 
CM 7
SPIN 2","Wed May 10 14:30:26 +0000 2023,"
"WR 33 
CM 3 
SPIN 1","Wed May 10 14:00:54 +0000 2023,"
"WR 26
CM 4
SPIN 1","Wed May 10 12:58:13 +0000 2023,"
"WR 31🏋️
CM 10🏃‍♀️
SPIN 1🚴‍♂️","Wed May 10 12:32:00 +0000 2023,"
"WR 29
CM 6
SPIN 1","Wed May 10 12:08:04 +0000 2023,"
"WR 18
CM 5
SPIN 2","Wed May 10 11:26:08 +0000 2023,"
"WR 12
CM 2
SPIN 1","Wed May 10 11:03:02 +0000 2023,"
"WR 53
CM 10
SPIN 6","Tue May 09 23:01:34 +0000 2023,"
"WR 52
CM 15
SPIN 7","Tue May 09 22:30:06 +0000 2023,"
"WR 44
CM 13
SPIN 4","Tue May 09 21:33:44 +0000 2023,"
"WR 42
CM 11
SPIN 5","Tue May 09 21:02:07 +0000 2023,"
"WR 40 
CM 12
SPIN 7","Tue May 09 20:26:03 +0000 2023,"
"WR 31
CM 16
SPIN 0","Tue May 09 20:13:18 +0000 2023,"
"WR 39
CM 16
SPIN 2","Tue May 09 18:55:22 +0000 2023,"
"WR 19
CM 8
SPIN 2","Tue May 09 17:23:10 +0000 2023,"
"WR 23
CM 6
SPIN 2","Tue May 09 16:58:52 +0000 2023,"
"WR 22🦆
CM 2🦆
SPIN 1🦆","Tue May 09 16:25:39 +0000 2023,"
"WR 18
CM 4
SPIN 3","Tue May 09 15:29:12 +0000 2023,"
"WR 23
CM 9
SPIN 4","Tue May 09 14:57:02 +0000 2023,"
"WR 19🏝️
CM 10🌄
SPIN 1🏖️","Tue May 09 14:30:43 +0000 2023,"
"WR 20🏋️
CM 6🏃‍♀️
SPIN 1🚴‍♂️","Tue May 09 13:59:49 +0000 2023,"
"WR 19
CM 5
SPIN 3","Tue May 09 13:28:32 +0000 2023,"
"WR 16
CM 2 
SPIN 0","Tue May 09 13:00:22 +0000 2023,"
"WR 26 
CM 7 
SPIN 1","Tue May 09 12:29:52 +0000 2023,"
"WR 25
CM 5 
SPIN 3","Tue May 09 11:54:35 +0000 2023,"
"WR 17
CM 6 
SPIN 1","Tue May 09 11:25:06 +0000 2023,"
